epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.948,2.15278,3.34444,1.72603,0.2651,0.13942,0.11505,0.05701,2.37538,3.53987,1.98839,0.000554673,0.000554673,0.000554673
2,353.208,2.20351,2.9915,1.77041,0.25437,0.15263,0.11684,0.05272,2.37967,3.312,1.93669,0.00108835,0.00108835,0.00108835
3,523.847,2.2111,2.94484,1.78266,0.3262,0.16564,0.16024,0.08056,2.30418,3.17234,1.95293,0.00160003,0.00160003,0.00160003
4,692.903,2.17729,2.8632,1.76126,0.32731,0.17598,0.14757,0.07515,2.30382,3.12789,1.97775,0.00156798,0.00156798,0.00156798
5,863.037,2.10929,2.79423,1.71599,0.3714,0.20708,0.18787,0.09653,2.19522,3.03757,1.82048,0.00153497,0.00153497,0.00153497
6,1036.74,2.08744,2.74646,1.70409,0.39859,0.21426,0.20748,0.109,2.15199,2.89171,1.81975,0.00150197,0.00150197,0.00150197
7,1207.25,2.03977,2.68126,1.66594,0.37188,0.20908,0.20199,0.10265,2.14375,2.99757,1.80136,0.00146896,0.00146896,0.00146896
8,1380.8,2.0362,2.67106,1.67157,0.45794,0.20991,0.21517,0.1137,2.14501,2.78364,1.77621,0.00143595,0.00143595,0.00143595
9,1555.55,1.99938,2.59368,1.6387,0.42293,0.22734,0.22827,0.11858,2.09755,2.75898,1.79531,0.00140295,0.00140295,0.00140295
10,1727.02,1.96943,2.55659,1.62915,0.46053,0.21695,0.22546,0.1206,2.09054,2.84806,1.76203,0.00136994,0.00136994,0.00136994
11,1898.77,1.96248,2.55837,1.63025,0.44167,0.2381,0.2428,0.12723,2.08545,2.62442,1.73781,0.00133693,0.00133693,0.00133693
12,2069.5,1.94795,2.51348,1.60739,0.46332,0.24641,0.25479,0.13582,2.0086,2.58221,1.70291,0.00130393,0.00130393,0.00130393
13,2240.03,1.93926,2.48668,1.59138,0.45474,0.25207,0.25787,0.13908,2.01197,2.57171,1.68736,0.00127092,0.00127092,0.00127092
14,2411.67,1.9178,2.47638,1.58164,0.4889,0.24641,0.25606,0.13621,2.03313,2.60847,1.6842,0.00123791,0.00123791,0.00123791
15,2590.41,1.90845,2.44006,1.57335,0.44474,0.24709,0.25431,0.13779,1.99984,2.68574,1.70586,0.00120491,0.00120491,0.00120491
16,2763.59,1.9012,2.42592,1.57451,0.49717,0.26131,0.27242,0.14787,1.99681,2.54277,1.66199,0.0011719,0.0011719,0.0011719
17,2936.63,1.89761,2.41617,1.56878,0.45545,0.25847,0.26572,0.1432,1.97992,2.50881,1.69319,0.00113889,0.00113889,0.00113889
18,3108.36,1.89192,2.37657,1.5569,0.45332,0.2622,0.26916,0.14649,1.98629,2.52663,1.6709,0.00110589,0.00110589,0.00110589
19,3280.57,1.87442,2.36952,1.55462,0.486,0.26436,0.27426,0.14924,1.9662,2.52183,1.66121,0.00107288,0.00107288,0.00107288
20,3454.7,1.85472,2.33512,1.53638,0.44118,0.27947,0.28785,0.15532,1.95059,2.44101,1.63406,0.00103987,0.00103987,0.00103987
21,3633.36,1.84294,2.32129,1.52908,0.47799,0.27807,0.29193,0.15973,1.92727,2.45841,1.63039,0.00100687,0.00100687,0.00100687
22,3808.44,1.84811,2.30851,1.52858,0.46877,0.28152,0.29226,0.16157,1.93009,2.41225,1.62459,0.000973861,0.000973861,0.000973861
23,3972.42,1.82728,2.29786,1.52273,0.48124,0.28211,0.29953,0.16346,1.91603,2.40652,1.63151,0.000940855,0.000940855,0.000940855
24,4139.99,1.82192,2.27966,1.51738,0.4865,0.29175,0.30646,0.16856,1.90346,2.35015,1.60966,0.000907848,0.000907848,0.000907848
25,4307.26,1.81375,2.25826,1.50783,0.4832,0.29624,0.31111,0.17167,1.90501,2.31152,1.60661,0.000874842,0.000874842,0.000874842
26,4476.03,1.79526,2.2294,1.49819,0.48895,0.28929,0.30556,0.16699,1.9083,2.33122,1.58717,0.000841835,0.000841835,0.000841835
27,4643.73,1.79444,2.20846,1.48632,0.48268,0.29503,0.30991,0.17191,1.89058,2.31911,1.58504,0.000808828,0.000808828,0.000808828
28,4810.22,1.79514,2.20636,1.4941,0.4952,0.29334,0.31701,0.17463,1.89519,2.30371,1.5905,0.000775822,0.000775822,0.000775822
29,4980.04,1.78012,2.17483,1.48128,0.48785,0.30791,0.32405,0.18005,1.88618,2.26048,1.58623,0.000742815,0.000742815,0.000742815
30,5153.58,1.77146,2.15155,1.46725,0.49168,0.30859,0.32656,0.18118,1.88596,2.25459,1.582,0.000709809,0.000709809,0.000709809
31,5322.53,1.76456,2.1422,1.46175,0.51257,0.3008,0.32785,0.18144,1.87855,2.25116,1.57693,0.000676802,0.000676802,0.000676802
32,5492.73,1.76293,2.12971,1.46606,0.49167,0.31402,0.33088,0.18327,1.87095,2.24916,1.5725,0.000643795,0.000643795,0.000643795
33,5662.56,1.74241,2.11161,1.45623,0.50426,0.31854,0.33972,0.18817,1.8666,2.23245,1.57851,0.000610789,0.000610789,0.000610789
34,5831.97,1.7516,2.10176,1.4548,0.50255,0.32504,0.33941,0.18798,1.85374,2.23063,1.54006,0.000577782,0.000577782,0.000577782
35,6000.97,1.7257,2.07125,1.44274,0.50651,0.32584,0.34397,0.19036,1.85322,2.19482,1.53753,0.000544776,0.000544776,0.000544776
36,6171.62,1.74127,2.07014,1.44834,0.48919,0.32929,0.34622,0.19332,1.83553,2.17773,1.53522,0.000511769,0.000511769,0.000511769
37,6341.85,1.73588,2.05366,1.44072,0.49659,0.32815,0.34444,0.19282,1.84562,2.18216,1.53827,0.000478762,0.000478762,0.000478762
38,6508.95,1.71785,2.03963,1.43474,0.51971,0.32713,0.35013,0.19722,1.83518,2.16102,1.53254,0.000445756,0.000445756,0.000445756
39,6675.89,1.70747,2.03118,1.41939,0.5045,0.32722,0.34672,0.19503,1.82924,2.14817,1.52942,0.000412749,0.000412749,0.000412749
40,6842.77,1.70993,2.01108,1.418,0.49451,0.34286,0.35811,0.20185,1.82968,2.14527,1.52165,0.000379743,0.000379743,0.000379743
41,7001.97,1.71374,1.9273,1.43022,0.52333,0.33771,0.35881,0.20062,1.82983,2.11872,1.51964,0.000346736,0.000346736,0.000346736
42,7160.5,1.69981,1.89802,1.43144,0.52121,0.34238,0.36495,0.20452,1.82833,2.08808,1.52097,0.000313729,0.000313729,0.000313729
43,7314.03,1.69479,1.8704,1.43443,0.5269,0.34255,0.36661,0.20591,1.81168,2.07371,1.52158,0.000280723,0.000280723,0.000280723
44,7465.11,1.67958,1.83624,1.41568,0.52507,0.346,0.36606,0.20678,1.81421,2.06197,1.51556,0.000247716,0.000247716,0.000247716
45,7616.26,1.6745,1.8265,1.41091,0.52573,0.34892,0.37164,0.2098,1.80974,2.05001,1.50963,0.00021471,0.00021471,0.00021471
46,7767.81,1.6563,1.80609,1.40837,0.52096,0.35157,0.37221,0.21043,1.8085,2.04496,1.51691,0.000181703,0.000181703,0.000181703
47,7920.37,1.65455,1.79501,1.40465,0.52673,0.35493,0.37513,0.2123,1.80159,2.03327,1.51012,0.000148696,0.000148696,0.000148696
48,8072.05,1.64919,1.77139,1.40021,0.52853,0.35477,0.37759,0.21344,1.8031,2.02525,1.51101,0.00011569,0.00011569,0.00011569
49,8227.54,1.63967,1.75589,1.38839,0.53609,0.35696,0.37883,0.214,1.80055,2.02116,1.50233,8.26832e-05,8.26832e-05,8.26832e-05
50,8386.19,1.64284,1.7469,1.38637,0.5321,0.35813,0.3804,0.21557,1.8005,2.01988,1.50203,4.96766e-05,4.96766e-05,4.96766e-05
