epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,380.359,1.90646,3.13497,1.82507,0.31475,0.2103,0.18035,0.07158,2.14615,3.00457,2.0848,0.00998532,0.00332844,0.00998532,0.00332844,0.00998532,0.00332844,0.00998532,0.00332844
2,705.575,1.94043,2.60265,1.83057,0.17845,0.18161,0.09598,0.03548,2.42687,4.12238,2.35958,0.0195896,0.00652987,0.0195896,0.00652987,0.0195896,0.00652987,0.0195896,0.00652987
3,1031.58,2.07237,2.77238,1.97244,0.2272,0.14434,0.07647,0.02815,2.58593,4.44887,2.56416,0.0287979,0.0095993,0.0287979,0.0095993,0.0287979,0.0095993,0.0287979,0.0095993
4,1351.42,2.04766,2.77539,1.98776,0.21361,0.18136,0.11672,0.04344,2.37675,4.00224,2.39035,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1671.12,1.9712,2.61957,1.91908,0.37822,0.20909,0.1631,0.0645,2.23645,3.08707,2.24019,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1990.04,1.92405,2.52832,1.89084,0.3699,0.22097,0.17947,0.07501,2.13459,2.93286,2.21391,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2332.31,1.89206,2.46503,1.85921,0.4303,0.22863,0.22177,0.09445,2.16524,2.61815,2.14912,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2669.1,1.85599,2.39162,1.82449,0.37944,0.25943,0.24271,0.1082,2.05775,2.61653,2.11235,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3001.2,1.83042,2.33501,1.80253,0.51567,0.25843,0.25358,0.11137,2.09213,2.58373,2.14824,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3336.24,1.8146,2.29487,1.77476,0.45364,0.28768,0.28311,0.12422,2.05668,2.44519,2.06777,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3678.91,1.8047,2.27421,1.76656,0.38292,0.28391,0.27727,0.12886,1.99174,2.42982,2.01436,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4009.56,1.78071,2.22572,1.75044,0.49377,0.32435,0.31953,0.1465,1.99073,2.29983,1.98858,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4327.3,1.76529,2.20166,1.73059,0.4669,0.31482,0.31981,0.14689,1.93522,2.2744,1.94482,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4654.33,1.75024,2.15261,1.70959,0.46824,0.32276,0.31623,0.14552,1.96002,2.27698,1.94422,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4978.07,1.7427,2.1395,1.7078,0.47007,0.34642,0.33676,0.15947,1.92676,2.21742,1.93626,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5298.16,1.73571,2.1115,1.69739,0.47361,0.33592,0.33367,0.16064,1.92879,2.20369,1.91887,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5616.71,1.71143,2.07253,1.68244,0.51209,0.34542,0.35145,0.16684,1.92999,2.16839,1.9176,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5934.2,1.70917,2.06946,1.68492,0.50021,0.34913,0.35128,0.1691,1.90783,2.14411,1.89049,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6249.88,1.68571,2.02018,1.66058,0.50533,0.3449,0.35935,0.17067,1.93319,2.12811,1.88708,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6572.44,1.68559,2.01033,1.65856,0.51611,0.35321,0.36621,0.17903,1.886,2.11785,1.86277,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6893.48,1.67326,1.9916,1.64867,0.53184,0.36174,0.3787,0.18411,1.86979,2.04719,1.84007,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7211.57,1.66657,1.9766,1.63458,0.55371,0.36237,0.38623,0.19156,1.84648,2.03565,1.83868,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7533.39,1.65469,1.94982,1.6241,0.52381,0.37352,0.38969,0.19579,1.85886,2.00388,1.82976,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7861.55,1.64558,1.90945,1.60784,0.5195,0.3797,0.39,0.19876,1.84909,1.99432,1.82306,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8179.94,1.6358,1.90232,1.59601,0.5411,0.38258,0.39927,0.20032,1.83111,1.96707,1.79346,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8505.4,1.62979,1.88656,1.59386,0.56309,0.38838,0.40758,0.20802,1.81889,1.94572,1.79807,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8822.14,1.61944,1.85835,1.59206,0.55045,0.38999,0.41232,0.21278,1.81754,1.92513,1.77605,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,9141.77,1.60778,1.84412,1.58821,0.55214,0.39523,0.41487,0.21581,1.80386,1.90627,1.78455,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9463.65,1.60219,1.82754,1.57927,0.54176,0.40553,0.41898,0.21609,1.8032,1.89876,1.77121,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9786.02,1.59078,1.80573,1.57072,0.57289,0.39762,0.42315,0.21815,1.80968,1.89137,1.77713,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,10103.6,1.58514,1.79397,1.56919,0.5644,0.4145,0.43371,0.23011,1.78473,1.85697,1.76465,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,10425.2,1.56919,1.7547,1.555,0.58275,0.4056,0.43314,0.23091,1.75793,1.83666,1.73772,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10751.7,1.56226,1.75416,1.54607,0.55081,0.41581,0.43555,0.23091,1.76705,1.83012,1.74321,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11073.1,1.55401,1.73212,1.53624,0.58605,0.41371,0.44118,0.2371,1.75962,1.82094,1.73327,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,11396.8,1.55268,1.7082,1.5299,0.59648,0.41898,0.44257,0.23917,1.75953,1.81713,1.73418,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11718.9,1.53341,1.68238,1.52134,0.59005,0.41987,0.44806,0.24355,1.75067,1.79883,1.72291,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12029.7,1.51824,1.6785,1.51065,0.59242,0.42618,0.44906,0.24589,1.73901,1.77654,1.70996,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,12353.9,1.51478,1.65419,1.51266,0.59206,0.42674,0.4539,0.24881,1.74332,1.76766,1.71049,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12683.2,1.50722,1.64365,1.49762,0.59881,0.42799,0.45623,0.24933,1.74249,1.76098,1.71014,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13008.3,1.49328,1.60996,1.48927,0.59629,0.42979,0.45773,0.25253,1.73794,1.75587,1.70639,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13310.7,1.53353,1.51317,1.54273,0.59082,0.43612,0.46283,0.25848,1.72101,1.73173,1.69301,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,13608.7,1.50808,1.47064,1.525,0.58338,0.44191,0.46683,0.26189,1.71828,1.72443,1.69491,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,13904.5,1.48802,1.41614,1.51223,0.59596,0.43633,0.46678,0.26562,1.70916,1.71895,1.68954,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,14200.4,1.47192,1.3972,1.49499,0.60066,0.43401,0.46892,0.26854,1.7015,1.7138,1.68489,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,14502.7,1.4595,1.37821,1.48582,0.5862,0.44753,0.47151,0.27112,1.68812,1.7007,1.67301,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,14802.4,1.43304,1.33873,1.46575,0.60458,0.44245,0.47339,0.2742,1.6922,1.68946,1.67592,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,15107.9,1.42508,1.32199,1.46364,0.61232,0.44745,0.4754,0.27566,1.69308,1.68552,1.67593,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,15410.4,1.41243,1.29292,1.45038,0.59608,0.45455,0.47521,0.2764,1.69446,1.68069,1.6748,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,15710.6,1.39173,1.27002,1.43108,0.59849,0.45543,0.47755,0.27834,1.69229,1.67912,1.67435,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,16011.7,1.39117,1.26204,1.43066,0.60481,0.45119,0.47608,0.27835,1.69192,1.67991,1.67484,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
