epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,738.556,2.00328,2.97053,1.90844,0.2872,0.19367,0.15929,0.06125,2.2156,3.01067,2.2352,0.00999816,0.00333272,0.00999816,0.00333272,0.00999816,0.00333272,0.00999816,0.00333272
2,1387.95,2.07408,2.9127,1.99192,0.41557,0.15953,0.10869,0.04126,2.41171,3.39789,2.40355,0.0196022,0.00653407,0.0196022,0.00653407,0.0196022,0.00653407,0.0196022,0.00653407
3,2007.02,2.1615,3.08345,2.10045,0.23283,0.14078,0.10032,0.03675,2.38159,3.24491,2.45801,0.0288102,0.00960341,0.0288102,0.00960341,0.0288102,0.00960341,0.0288102,0.00960341
4,2622.22,2.16634,3.10534,2.12039,0.19719,0.17481,0.08968,0.03591,2.28932,3.28008,2.33043,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3236.15,2.07174,2.92848,2.06039,0.30762,0.20546,0.15403,0.06651,2.21777,2.92998,2.29348,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3867.02,2.02329,2.81184,1.99966,0.38149,0.21407,0.20263,0.08752,2.14929,2.81546,2.21797,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4479.65,1.97357,2.7193,1.9729,0.35654,0.23332,0.19648,0.08349,2.17296,2.74346,2.2123,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5105.24,1.94588,2.65503,1.93663,0.42539,0.25469,0.24406,0.1051,2.09568,2.62685,2.15793,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5753.31,1.9057,2.57367,1.90585,0.45974,0.26051,0.25276,0.11399,2.07774,2.55893,2.10746,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6384.32,1.87036,2.51485,1.874,0.4609,0.27527,0.27361,0.12422,2.03261,2.48912,2.08135,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7037.15,1.8613,2.47587,1.86505,0.45557,0.28981,0.2806,0.12539,2.01186,2.46391,2.04946,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7676.46,1.83677,2.42847,1.84384,0.48085,0.29371,0.29824,0.13582,1.99915,2.42658,2.02459,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8319.31,1.82265,2.39678,1.82382,0.49481,0.30162,0.31301,0.14376,1.98002,2.36311,2.01276,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8952.89,1.80519,2.36111,1.81621,0.47657,0.31612,0.32106,0.15097,1.97483,2.35925,1.99226,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9579.77,1.79976,2.31386,1.8013,0.50499,0.31586,0.33062,0.15446,1.9501,2.26504,1.96154,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10218.1,1.77528,2.2866,1.7798,0.52501,0.31619,0.33994,0.16201,1.92579,2.25459,1.95868,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10885.5,1.75873,2.26453,1.77654,0.5147,0.33249,0.342,0.16757,1.90913,2.2194,1.92846,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11526.8,1.75843,2.24631,1.75731,0.52318,0.33327,0.34903,0.16982,1.91354,2.18781,1.91792,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,12158.1,1.75175,2.22901,1.75409,0.53734,0.34896,0.36262,0.17682,1.9066,2.14802,1.91705,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12787.4,1.72672,2.17933,1.74187,0.53505,0.35068,0.36487,0.17939,1.89216,2.14211,1.90775,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
